market,benchmark,version,version_label,candidate_id,label,group,kind,top_cagr,active_cagr,top_worst_cagr,top_worst_terminal,robust_score,coverage,turnover,start_date,end_date,series_points,component_count,subset_keys,thesis,economics,source_run,source_document
nasdaq,NASDAQ COMP,old,旧基线,nasdaq_ext_subset_quality_improvement_earnings_yield_improvement,Evidence-first 核心：quality improvement + earnings-yield improvement,旧基线 · MODEL IMPLICATION,core,0.26237844761883244,0.03730909183155329,0.11757976676816861,3.902749640808636,0.9,0.886,,2014-04-02,2026-07-02,150,0,,这是最干净的全样本 subset：先用经营质量的边际改善过滤公司，再用盈利收益率改善加入估值纪律。它不等于传统低估值，也不等于静态质量。,经营利润率与 ROE 的改善说明盈利能力正在兑现，而 earnings yield 的改善让组合不必为同样的盈利支付越来越高的价格。这里的 alpha 逻辑是“改善中的质量以更合理的盈利价格交易”，不是单纯追逐高 ROE 或低 PE。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\nasdaq_extended_factor_research_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\nasdaq-factor-explorer.html
nasdaq,NASDAQ COMP,old,旧基线,nasdaq_ext_pair_459c506bb7f6,3期 Oper Margin 改善 + 3期 ROE 排名改善,旧基线 · STRICT SYNERGY,best-pair,0.2858644646152506,0.05660778867420646,0.1730955908737648,7.067647163932776,2.08,0.855,,2014-04-02,2026-07-02,150,0,,最强 pair 同时看经营端的利润率拐点与资本效率相对同行的改善。两条腿各自通过 gate，而且 pair 的 robust 与 Top/Worst 都明显超过强单腿。,利润率改善说明定价、成本或产品组合正在向好；ROE 排名改善说明这种变化已经开始提高股东资本的回报效率。两个维度共同出现时，市场面对的是可持续性更高的经营兑现，而不是一次性的利润率波动。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\nasdaq_extended_factor_research_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\nasdaq-factor-explorer.html
nasdaq,NASDAQ COMP,old,旧基线,nasdaq_ext_pair_2c3db0360664,3期 Earns Yield 改善 + 3期 Oper Margin 改善,旧基线 · STRICT SYNERGY,quality-value,0.2719696168212089,0.045190252218667126,0.1422707899276956,5.100605044447598,0.79,0.855,,2014-04-02,2026-07-02,150,0,,Nasdaq 版 quality-at-a-better-price：不是买低 PE，而是买利润率变好、forward earnings yield 也在改善的公司。,利润率改善先排除基本面恶化的“便宜”，而 forward earnings yield 改善限制为质量改善支付过高估值。这个组合的经济含义是让估值随着盈利质量一同被约束，而不是把 value 和 quality 机械拼接。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\nasdaq_extended_factor_research_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\nasdaq-factor-explorer.html
nasdaq,NASDAQ COMP,old,旧基线,nasdaq_momentum_eps_ntm_3m_growth_score,EPS NTM 3M Growth,旧基线 · RAW PASS,eps-growth,0.24828836140986477,0.02726457666061255,0.0820200603633019,2.677867556972357,0.319,0.958,,2014-01-02,2026-07-02,153,0,,近端盈利增长变化是全样本 raw gate 通过的核心信息。它捕捉的不是五年历史成长，而是市场正在重新定价的未来十二个月盈利。,近端 EPS 增长变化带来的是估值锚的更新：如果未来十二个月盈利的速度上调，折现的分子与叙事的可信度都在变化。它比长期历史 CAGR 更贴近分析师与投资者当下需要处理的新信息。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\nasdaq_extended_factor_research_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\nasdaq-factor-explorer.html
nasdaq,NASDAQ COMP,old,旧基线,nasdaq_momentum_eps_revision_ratio_score,EPS Revision Ratio,旧基线 · RAW PASS,revision,0.23081258356227852,0.012883085903028668,0.08740062243818314,2.84910082346536,0.158,0.965,,2014-01-02,2026-07-02,153,0,,盈利上修是有效单腿，但 full-theme LOO 显示它并非 quality/earnings-yield composite 的核心协同来源。应作为独立 sleeve 或确认信号。,revision 反映分析师信息的扩散和未来盈利预期的再定价。它有效并不意味着需要和每一个质量变量叠加：在 Nasdaq，revision 与经营改善常常覆盖同一批“市场正在重估”的公司，简单相加可能只增加噪声。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\nasdaq_extended_factor_research_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\nasdaq-factor-explorer.html
nasdaq,NASDAQ COMP,new,新扩展,nasdaq_tech_capital_efficient_growth_revision,Capital-efficient Growth + Revision,新扩展 · capital_efficiency,tech_engineered,0.23716270524809047,0.018108818524816384,0.08842423634279228,2.882795477980539,0.1972738058633584,0.9571097980183783,,2014-01-02,2026-07-02,152,4,,寻找既增长、又提高资产生产率、且盈利预期上修的公司。,Asset TO exFIN 把增长与资本占用联系起来，避免只奖励依赖持续融资或重资产扩张的收入增长。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\nasdaq_tech_factor_extension_20260710,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\nasdaq-factor-explorer.html
nasdaq,NASDAQ COMP,new,新扩展,nasdaq_tech_growth_confirmation,Growth + Earnings Revision,新扩展 · growth_confirmation,tech_engineered,0.2275004868510373,0.010157407029123267,0.09881949901759612,3.24636530141788,0.24911618603961616,0.9576040800736929,,2014-01-02,2026-07-02,152,3,,增长必须由盈利预期上修确认。,收入与毛利增长单独使用会混入昂贵但未兑现的成长；加入 EPS Revision Ratio 后，信号更接近正在被分析师验证的增长。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\nasdaq_tech_factor_extension_20260710,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\nasdaq-factor-explorer.html
nasdaq,NASDAQ COMP,new,新扩展,nasdaq_tech_asset_light_growth_revision,Asset-light Growth + Revision,新扩展 · intangible_investment,tech_engineered,0.23263886348435991,0.014385974978266658,0.11884968392218975,4.068457729567071,1.0727307752871411,0.9318564784650295,,2014-01-02,2026-07-02,152,5,,资产轻型增长需要利润率与盈利上修共同确认。,低物理资本开支、经营利润率和研发信息共同描述无形资产驱动的增长；EPS 上修用于过滤尚未兑现的故事。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\nasdaq_tech_factor_extension_20260710,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\nasdaq-factor-explorer.html
nasdaq,NASDAQ COMP,new,新扩展,nasdaq_tech_downside_aware_growth_revision,Downside-aware Growth + Revision,新扩展 · residual_risk,tech_engineered,0.22675322598025272,0.010661414102847822,0.07815163254769297,2.4502226171954717,0.19586999207297323,0.7677099013682626,,2014-08-04,2026-07-02,145,3,,在增长与盈利上修中加入公司特有下行风险约束。,残差下行波动剔除 Nasdaq 市场 beta 后，惩罚基本面虽强但个股下行风险过高的公司。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\nasdaq_tech_factor_extension_20260710,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\nasdaq-factor-explorer.html
nasdaq,NASDAQ COMP,new,新扩展,nasdaq_ext_subset_quality_improvement_intangible_investment,新主题组合：quality_improvement + intangible_investment,新扩展 · theme_subset,family_subset,0.25806054218601004,0.0322926651448878,0.14576176527468654,5.410517876240118,2.152290888539798,0.8979307555775237,0.2398165540044838,2014-02-03,2026-07-02,151,7,quality_improvement|intangible_investment,将通过 Gate 的主题等权组合，并用完整 power set 比较配置差异。,该配置用于比较 Nasdaq 中经营改善、无形资产、估值纪律、成长确认与风险控制的组合表现；高 Robust 不自动等于严格 synergy。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\nasdaq_tech_factor_extension_20260710,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\nasdaq-factor-explorer.html
