endpoint,provider,function,repository,source_path,source_type,file_size,latest_or_history,hot_path,mart_available,fallback_reason,migration_status
/api/dashboard/state,system_dashboard,_dashboard_state_payload -> _production_rows,SystemDashboardRepository -> MartRepository,"marts.latest_signals; marts.latest_regime; marts.latest_country_scores; marts.latest_factor_recommendation; marts.latest_candidates; marts.latest_portfolio",duckdb_mart+bounded_parquet,,latest,yes,expected,"latest.json 未激活或 mart 为空时仅回退 allowlisted artifact 且受 80MB 上限",mart-first with bounded artifact fallback
/api/dashboard/signals/regime,system_dashboard,_regime_signal_payload,SystemDashboardRepository,artifacts/signals/regime_risk_budget.parquet,parquet_compatibility_export,27261,history,no,yes,"接口同时返回 12 期 history；latest_regime 只保留最新截面，历史仍走 bounded artifact",artifact-backed detail/history on demand
/api/dashboard/signals/country,system_dashboard,_country_signal_payload,SystemDashboardRepository,artifacts/signals/country_model_signals.parquet,parquet_compatibility_export,20163,history,no,yes,"接口同时返回 country history；latest_country_scores 仅覆盖 latest slice",artifact-backed detail/history on demand
/api/dashboard/signals/small-cap,system_dashboard,_small_cap_signal_payload,SystemDashboardRepository,artifacts/signals/small_cap_model_signals.parquet,parquet_compatibility_export,104410,history,no,yes,"接口返回 top/worst/factor history 语义，latest_signals mart 为空时受限回退",artifact-backed detail/history on demand
/api/dashboard/signals/technical,system_dashboard,_technical_signal_payload,SystemDashboardRepository,"artifacts/signals/technical_signals.parquet; 00_screen/last_screen.parquet",parquet_compatibility_export+mart,319174;6956845,history+latest,no,yes,"technical history 使用 artifact；last_screen latest 可由 company_master_latest 提供；失败时 bounded fallback",mart-first with bounded artifact fallback
/api/dashboard/signals/factor-recommendation,system_dashboard,_factor_recommendation_payload,SystemDashboardRepository,"artifacts/signals/factor_exposure_snapshot_signals.parquet; 16_factor_recommendation_model/outputs/factor_exposure_snapshot_history.parquet",duckdb_mart+parquet_detail,21941;21141,latest+history,no,yes,"latest signal 走 latest_factor_recommendation，panel/history 保留 detail artifact 语义",mart-first with bounded artifact fallback
/api/dashboard/signals/sector,system_dashboard,_sector_signal_payload,CSV/artifact readers,"13_sector_score_model/outputs_fs_sector_default/sector_scores_latest.csv; 13_sector_score_model/outputs_eu/sector_scores_latest.csv; *_/sector_scores_panel.parquet",csv_artifact+parquet_detail,,latest+history,no,no,"当前 latest recommendation 和 realized rotation 依赖 CSV/panel；latest_sector_scores mart 尚未接入",csv artifact fallback
/api/dashboard/candidates,system_dashboard,_candidate_summary_row,SystemDashboardRepository,artifacts/candidates/latest_candidates.parquet,duckdb_mart+bounded_parquet,412472,latest,yes,yes,"无 current catalog 或 mart empty 时回退候选池 compatibility artifact",mart-first with bounded artifact fallback
/api/dashboard/portfolio,system_dashboard,_portfolio_summary_row,SystemDashboardRepository,artifacts/portfolios/latest_target_weights.parquet,duckdb_mart+bounded_parquet,51836,latest,yes,yes,"无 current catalog 或 mart empty 时回退组合 compatibility artifact",mart-first with bounded artifact fallback
/api/dashboard/score-ml-components,system_dashboard,_score_ml_components_payload,SystemDashboardRepository,"00_screen/screen_aggregate.parquet; artifacts/research/runs/historical/*/sec_list.parquet",duckdb_mart+bounded_detail,1113318680,latest+detail,no,expected,"screen compatibility artifact 超过 80MB 不回退；需 current company_master_latest；sec_list 仅 allowlisted detail",mart-first with bounded artifact fallback
/api/dashboard/company-detail/<isin>,system_dashboard,_company_detail_payload,SystemDashboardRepository,"../笔记/last_DES.parquet; ../笔记/Last_NEWS_3months.parquet",parquet_detail,,detail,no,no,"按 ISIN 的 description/news 仍为 on-demand artifact，受精确文件名 allowlist 与 80MB 上限",artifact-backed detail on demand
/api/dashboard/backtest,system_backtests,backtest provider,manifest/artifact readers,"artifacts/pipeline_runs; artifacts/backtest_runs; historical research runs",manifest+artifact,,history+latest,no,no,"回测明细和验证结果不是当前 dashboard mart hot path",artifact-backed detail on demand
